Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161230_fly2_LDM_006	16	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	300ms_searchStimFlash	5000	18	12103.15	2	80	920	10	95	72	482/18	1.3	0	0	1	cells 4-8 responding
161230_fly2_LDM_007	16	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	18	12103.15	2	80	920	10	95	72	482/18	1.3	0	0		
161230_fly2_LDM_008	16	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	300ms_searchStimFlash	5000	18	12108.08	2	80	920	10	95	72	482/18	1.3	0	0	1	cells 2-7 responding
161230_fly2_LDM_009	16	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	18	12108.08	2	80	920	10	95	72	482/18	1.3	0	0		
161230_fly2_LDM_010	16	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	300ms_searchStimFlash	5000	18	12116.34	2	80	920	12	95	72	482/18	1.3	0	0		
161230_fly2_LDM_011	16	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	18	12116.34	2	80	920	12	95	72	482/18	1.3	0	0		
161230_fly3_LDM_012	17	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	28	11622.01	2	80	920	6	90	72	482/18	1.3	0	0	1	cells 1-4 responding
161230_fly3_LDM_013	17	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	28	11622.01	2	80	920	6	95	72	482/18	1.3	0	0		some movement spikes
161230_fly3_LDM_014	17	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	28	11629.72	2	80	920	8	95	72	482/18	1.3	0	0	1	"cells 1-7 responding, some movement"
161230_fly3_LDM_015	17	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	28	11629.72	2	80	920	8	95	72	482/18	1.3	0	0		few movement spikes
